cancel	2	It Isn't the Mane Thing About You.txt	The Washouts.txt	
hush	3	The Break Up Break Down.txt	Bloom & Gloom.txt	Feeling Pinkie Keen.txt	
fix	1	A Friend in Deed.txt	
honest	2	Princess Spike.txt	Student Counsel.txt	
ablaze	1	A Rockhoof and a Hard Place.txt	
addition	1	MMMystery on the Friendship Express.txt	
surf	1	Applejack's "Day" Off.txt	
sure	1	Apple Family Reunion.txt	
grow	4	The Last Problem.txt	The Beginning of the End - Part 2.txt	Simple Ways.txt	Student Counsel.txt	
ah	3	Filli Vanilli.txt	My Little Pony Equestria Girls: Movie Magic.txt	Apple Family Reunion.txt	
aj	5	MMMystery on the Friendship Express.txt	Winter Wrap Up.txt	The Cutie Map - Part 1.txt	Boast Busters.txt	Spike at Your Service.txt	
am	1	Apple Family Reunion.txt	
an	1	Apple Family Reunion.txt	
dreaded	1	Boast Busters.txt	
panic	6	Dragonshy.txt	It's About Time.txt	Forever Filly.txt	Princess Twilight Sparkle - Part 1.txt	Growing Up is Hard to Do.txt	A Royal Problem.txt	
suri	1	Rarity Takes Manehattan.txt	
extend	2	The Times They Are A Changeling.txt	My Little Pony Equestria Girls: Movie Magic.txt	
"ne'er-do-wells"	1	The Saddle Row Review.txt	
blowing	4	It Isn't the Mane Thing About You.txt	Marks for Effort.txt	The Saddle Row Review.txt	The Washouts.txt	
fold	1	Apple Family Reunion.txt	
as	1	Apple Family Reunion.txt	
at	1	Apple Family Reunion.txt	
au	1	Simple Ways.txt	
cuckoo	1	Celestial Advice.txt	
aw	7	Princess Spike.txt	Castle Sweet Castle.txt	The Saddle Row Review.txt	Applejack's "Day" Off.txt	A Friend in Deed.txt	Filli Vanilli.txt	Apple Family Reunion.txt	
hurk	1	Twilight's Kingdom - Part 1.txt	
folk	4	The Cutie Map - Part 1.txt	Griffon the Brush Off.txt	It Isn't the Mane Thing About You.txt	Filli Vanilli.txt	
crystal–	1	The Crystal Empire - Part 2.txt	
hurt	2	The Washouts.txt	My Little Pony Equestria Girls: Movie Magic.txt	
th-that's	1	The Crystal Empire - Part 1.txt	
be	1	Apple Family Reunion.txt	
rrrh	1	Griffon the Brush Off.txt	
friend-making	1	Amending Fences.txt	
fool	3	Griffon the Brush Off.txt	The Beginning of the End - Part 1.txt	The Times They Are A Changeling.txt	
by	1	Apple Family Reunion.txt	
popularity	1	Common Ground.txt	
grrr	2	Dragonshy.txt	The Mysterious Mare Do Well.txt	
foot	1	Campfire Tales.txt	
hating	1	The Cutie Map - Part 1.txt	
charge	1	Apple Family Reunion.txt	
bawling	2	Forever Filly.txt	It Isn't the Mane Thing About You.txt	
need-	1	Three's A Crowd.txt	
food	1	Applejack's "Day" Off.txt	
flu	1	Three's A Crowd.txt	
need"	1	Pinkie Pride.txt	
fly	1	The Washouts.txt	
partner	1	Apple Family Reunion.txt	
rushin'	1	Brotherhooves Social.txt	
votes	1	Crusaders of the Lost Mark.txt	
autographs	1	Common Ground.txt	
freely	1	To Where and Back Again - Part 2.txt	
stopwatch	1	Top Bolt.txt	
de	2	A Dog and Pony Show.txt	A Royal Problem.txt	
tureen	1	Keep Calm and Flutter On.txt	
di	1	Twilight Time.txt	
muddying	1	The End in Friend.txt	
scarf	3	Dragonshy.txt	Winter Wrap Up.txt	Made in Manehattan.txt	
dj	1	The Saddle Row Review.txt	
scare	2	It Ain't Easy Being Breezies.txt	Spike at Your Service.txt	
grub	3	The Hooffields and McColts.txt	To Where and Back Again - Part 2.txt	The Crystal Empire - Part 1.txt	
language	1	It Ain't Easy Being Breezies.txt	
do	1	Apple Family Reunion.txt	
puzzle-solving	1	Stranger Than Fan Fiction.txt	
dr	1	Secret of My Excess.txt	
whooshing	6	Growing Up is Hard to Do.txt	Once Upon a Zeppelin.txt	The Beginning of the End - Part 1.txt	The Last Problem.txt	The Beginning of the End - Part 2.txt	Marks for Effort.txt	
i-i-i'm	4	Stranger Than Fan Fiction.txt	The Gift of the Maud Pie.txt	A Royal Problem.txt	My Little Pony Equestria Girls: Movie Magic.txt	
attacks	1	Molt Down.txt	
showtime	1	The Crystal Empire - Part 2.txt	
nutty	1	The Lost Treasure of Griffonstone.txt	
garment	1	A Dog and Pony Show.txt	
scary	7	Pinkie Apple Pie.txt	The Cutie Map - Part 2.txt	Feeling Pinkie Keen.txt	A Dog and Pony Show.txt	It Isn't the Mane Thing About You.txt	Maud Pie.txt	Spike at Your Service.txt	
needs	2	Student Counsel.txt	Apple Family Reunion.txt	
ohhhh	5	The Break Up Break Down.txt	Surf and or Turf.txt	Dragon Dropped.txt	The Mysterious Mare Do Well.txt	The Washouts.txt	
eg	1	My Little Pony Equestria Girls: Movie Magic.txt	
everypony	1	Apple Family Reunion.txt	
eh	3	Applejack's "Day" Off.txt	Filli Vanilli.txt	My Little Pony Equestria Girls: Movie Magic.txt	
no-no-no-no-no-no	2	The Gift of the Maud Pie.txt	Three's A Crowd.txt	
el	1	Pinkie Pride.txt	
snarl	1	To Where and Back Again - Part 2.txt	
em	1	The One Where Pinkie Pie Knows.txt	
buckin'	1	Simple Ways.txt	
en	1	Do Princesses Dream of Magic Sheep?.txt	
er	2	Pinkie Apple Pie.txt	The Cutie Map - Part 1.txt	
et	1	Simple Ways.txt	
ew	3	Do Princesses Dream of Magic Sheep?.txt	The End in Friend.txt	Bloom & Gloom.txt	
toured	1	Once Upon a Zeppelin.txt	
busiest	1	Made in Manehattan.txt	
for-	1	Dragonshy.txt	
piece	12	Uprooted.txt	Princess Twilight Sparkle - Part 2.txt	Forever Filly.txt	The Cutie Map - Part 2.txt	Surf and or Turf.txt	Boast Busters.txt	It Isn't the Mane Thing About You.txt	The Perfect Pear.txt	Princess Spike.txt	The Washouts.txt	Student Counsel.txt	My Little Pony Equestria Girls: Movie Magic.txt	
changelings'	1	To Where and Back Again - Part 2.txt	
fog	1	A Rockhoof and a Hard Place.txt	
"if	1	Every Little Thing She Does.txt	
tears	4	My Little Pony Equestria Girls: Summertime Shorts.txt	Uprooted.txt	Forever Filly.txt	The Beginning of the End - Part 2.txt	
gabby	1	Dragon Dropped.txt	
"in	2	The Beginning of the End - Part 1.txt	The Saddle Row Review.txt	
for	1	Apple Family Reunion.txt	
wheeeee	2	A Rockhoof and a Hard Place.txt	Pinkie Apple Pie.txt	
re-shelving	1	Secret of My Excess.txt	
"is	1	Twilight's Kingdom - Part 1.txt	
twilight	1	My Little Pony Equestria Girls: Movie Magic.txt	
"it	1	The One Where Pinkie Pie Knows.txt	
content	3	Top Bolt.txt	Princess Twilight Sparkle - Part 1.txt	Amending Fences.txt	
mustache	1	Spike at Your Service.txt	
fu	1	Boast Busters.txt	
plow	1	Simple Ways.txt	
ding	6	Stranger Than Fan Fiction.txt	My Little Pony Equestria Girls: Summertime Shorts.txt	The Gift of the Maud Pie.txt	The Beginning of the End - Part 2.txt	A Friend in Deed.txt	Apple Family Reunion.txt	
enticing	1	Boast Busters.txt	
alert	4	Campfire Tales.txt	Newbie Dash.txt	The Hooffields and McColts.txt	Three's A Crowd.txt	
plot	3	Stranger Than Fan Fiction.txt	The Cutie Re-Mark - Part 1.txt	Spike at Your Service.txt	
ge	1	It Ain't Easy Being Breezies.txt	
i'	1	Dragonshy.txt	
covers	2	My Little Pony Equestria Girls: Summertime Shorts.txt	Applejack's "Day" Off.txt	
potion	2	It Isn't the Mane Thing About You.txt	Celestial Advice.txt	
i-	1	Sweet and Elite.txt	
go	1	Apple Family Reunion.txt	
flawlessly	1	My Little Pony Equestria Girls: Summertime Shorts.txt	
plop	2	The End in Friend.txt	Bloom & Gloom.txt	
conserve	1	Tanks for the Memories.txt	
rhythm	1	Filli Vanilli.txt	
tease	1	The Cutie Re-Mark - Part 1.txt	
treetops	1	Filli Vanilli.txt	
fork	1	Secret of My Excess.txt	
form	3	Surf and or Turf.txt	Once Upon a Zeppelin.txt	The Cutie Re-Mark - Part 2.txt	
me's	1	It's About Time.txt	
ha	2	The Washouts.txt	Apple Family Reunion.txt	
renew	2	The Crystal Empire - Part 2.txt	Dragon Dropped.txt	
fort	1	The Hearth's Warming Club.txt	
he	2	My Little Pony Equestria Girls: Movie Magic.txt	Apple Family Reunion.txt	
hh	1	Feeling Pinkie Keen.txt	
feather	4	MMMystery on the Friendship Express.txt	Griffon the Brush Off.txt	Molt Down.txt	Uncommon Bond.txt	
hi	1	A Friend in Deed.txt	
placed	1	The End in Friend.txt	
triggered	2	The Cutie Re-Mark - Part 1.txt	It Isn't the Mane Thing About You.txt	
hm	2	Princess Spike.txt	Apple Family Reunion.txt	
heheh	1	Sweet and Elite.txt	
ho	1	Boast Busters.txt	
girl's	1	A Dog and Pony Show.txt	
hq	1	Top Bolt.txt	
welfare	1	Hearth's Warming Eve.txt	
be--	1	Pinkie Pride.txt	
hw	1	Winter Wrap Up.txt	
flourish	1	Maud Pie.txt	
intricate	2	Twilight's Kingdom - Part 1.txt	Spike at Your Service.txt	
else	1	Student Counsel.txt	
four	1	Apple Family Reunion.txt	
easily	5	Hearth's Warming Eve.txt	Bloom & Gloom.txt	A Royal Problem.txt	The Mysterious Mare Do Well.txt	Spike at Your Service.txt	
believable	1	Stranger Than Fan Fiction.txt	
if	1	Apple Family Reunion.txt	
sporty	1	Common Ground.txt	
ha-ha-ha	1	The End in Friend.txt	
likely	4	The Cart Before the Ponies.txt	Molt Down.txt	The Cutie Re-Mark - Part 2.txt	Rarity Takes Manehattan.txt	
in	1	Apple Family Reunion.txt	
serpents	1	Stranger Than Fan Fiction.txt	
is	1	Apple Family Reunion.txt	
it	1	Apple Family Reunion.txt	
doorway	1	The Crystal Empire - Part 2.txt	
banners	1	To Where and Back Again - Part 1.txt	
whudda-	1	The Mysterious Mare Do Well.txt	
henchpony	2	Stranger Than Fan Fiction.txt	Power Ponies.txt	
talked	5	The Cart Before the Ponies.txt	Common Ground.txt	Forever Filly.txt	Growing Up is Hard to Do.txt	Uncommon Bond.txt	
iz	1	Party of One.txt	
"combos"	1	Feeling Pinkie Keen.txt	
lively	2	A Rockhoof and a Hard Place.txt	Keep Calm and Flutter On.txt	
distraction	2	To Where and Back Again - Part 2.txt	The Last Problem.txt	
pep-talk	1	It Ain't Easy Being Breezies.txt	
annoying	3	Common Ground.txt	To Where and Back Again - Part 2.txt	Griffon the Brush Off.txt	
bbbbrrr	1	Spike at Your Service.txt	
overdressed	1	Celestial Advice.txt	
spying—	1	The Break Up Break Down.txt	
jr	1	The Saddle Row Review.txt	
majestic	3	Hearth's Warming Eve.txt	The Lost Treasure of Griffonstone.txt	The Hooffields and McColts.txt	
goggle	1	The End in Friend.txt	
"my	2	The Beginning of the End - Part 1.txt	The Last Problem.txt	
disposal	2	Uncommon Bond.txt	Dragon Dropped.txt	
sparkling	3	The Gift of the Maud Pie.txt	A Dog and Pony Show.txt	The Last Problem.txt	
settlement	1	The Gift of the Maud Pie.txt	
anypony's	6	The Hooffields and McColts.txt	Three's A Crowd.txt	The Last Problem.txt	Maud Pie.txt	The Mysterious Mare Do Well.txt	Apple Family Reunion.txt	
ability	1	Boast Busters.txt	
delight	2	Sweet and Elite.txt	The Cutie Map - Part 2.txt	
plugged	1	Molt Down.txt	
suggestion	3	Crusaders of the Lost Mark.txt	Every Little Thing She Does.txt	Castle Sweet Castle.txt	
distracting	2	To Where and Back Again - Part 2.txt	Molt Down.txt	
clearing	1	The Washouts.txt	
places	3	The Last Problem.txt	Rarity Takes Manehattan.txt	Princess Spike.txt	
la	4	Sweet and Elite.txt	A Dog and Pony Show.txt	The Hearth's Warming Club.txt	Twilight Time.txt	
wooden	1	Apple Family Reunion.txt	
fuh	1	Winter Wrap Up.txt	
le	1	Party of One.txt	
"of	1	Friendship University.txt	
"oh	3	The Gift of the Maud Pie.txt	The Perfect Pear.txt	Rarity Takes Manehattan.txt	
misunderstood	2	Brotherhooves Social.txt	The Hearth's Warming Club.txt	
fun	1	Apple Family Reunion.txt	
woo-hoo-hoo	1	Pinkie Pride.txt	
fur	1	My Little Pony Equestria Girls: Summertime Shorts.txt	
lo	2	Pinkie Pride.txt	Rarity Takes Manehattan.txt	
pants	1	Princess Spike.txt	
"or	1	Twilight's Kingdom - Part 2.txt	
locker	3	Newbie Dash.txt	Tanks for the Memories.txt	My Little Pony Equestria Girls: Movie Magic.txt	
second	1	Apple Family Reunion.txt	
splendiferous	1	My Little Pony Equestria Girls: Summertime Shorts.txt	
faster	10	My Little Pony Equestria Girls: Summertime Shorts.txt	Griffon the Brush Off.txt	The Cutie Re-Mark - Part 1.txt	Three's A Crowd.txt	The Crystal Empire - Part 2.txt	It Isn't the Mane Thing About You.txt	Secret of My Excess.txt	The Beginning of the End - Part 2.txt	Marks for Effort.txt	Castle Sweet Castle.txt	
kiddin'	6	Crusaders of the Lost Mark.txt	Party of One.txt	Campfire Tales.txt	Boast Busters.txt	Twilight Time.txt	Applejack's "Day" Off.txt	
ma	1	The Perfect Pear.txt	
me	1	Apple Family Reunion.txt	
o'	6	A Rockhoof and a Hard Place.txt	Party of One.txt	Campfire Tales.txt	My Little Pony Equestria Girls: Summertime Shorts.txt	Made in Manehattan.txt	Castle Sweet Castle.txt	
pansy	1	Hearth's Warming Eve.txt	
"ivy	1	The Cutie Map - Part 1.txt	
communication	1	The Break Up Break Down.txt	
mi	2	It Ain't Easy Being Breezies.txt	A Dog and Pony Show.txt	
locked	1	My Little Pony Equestria Girls: Movie Magic.txt	
cabinets	1	The One Where Pinkie Pie Knows.txt	
mm	6	Twilight Time.txt	Rarity Takes Manehattan.txt	Castle Sweet Castle.txt	Applejack's "Day" Off.txt	Filli Vanilli.txt	Student Counsel.txt	
plum	2	Hearth's Warming Eve.txt	Student Counsel.txt	
contest	1	Rarity Takes Manehattan.txt	
mr	2	A Friend in Deed.txt	My Little Pony Equestria Girls: Movie Magic.txt	
ms	3	Top Bolt.txt	The One Where Pinkie Pie Knows.txt	The Saddle Row Review.txt	
dirt	3	A Dog and Pony Show.txt	Maud Pie.txt	The Perfect Pear.txt	
my	1	Apple Family Reunion.txt	
plus	16	The Cart Before the Ponies.txt	Top Bolt.txt	The Lost Treasure of Griffonstone.txt	Secrets and Pies.txt	Gauntlet of Fire.txt	Twilight's Kingdom - Part 1.txt	My Little Pony Equestria Girls: Summertime Shorts.txt	The Cutie Re-Mark - Part 1.txt	The Beginning of the End - Part 1.txt	Uncommon Bond.txt	Twilight Time.txt	The Last Problem.txt	Rarity Takes Manehattan.txt	Castle Sweet Castle.txt	The Saddle Row Review.txt	Student Counsel.txt	
flowing	8	Campfire Tales.txt	My Little Pony Equestria Girls: Summertime Shorts.txt	Uprooted.txt	Surf and or Turf.txt	Boast Busters.txt	It Isn't the Mane Thing About You.txt	The Mysterious Mare Do Well.txt	Castle Sweet Castle.txt	
entry	2	MMMystery on the Friendship Express.txt	Twilight Time.txt	
license	1	The Cutie Re-Mark - Part 1.txt	
dream	7	To Where and Back Again - Part 1.txt	Spike at Your Service.txt	Rarity Takes Manehattan.txt	The Saddle Row Review.txt	The Washouts.txt	A Friend in Deed.txt	Filli Vanilli.txt	
dish	1	Student Counsel.txt	
rushing	2	Secret of My Excess.txt	The Mysterious Mare Do Well.txt	
noble	1	Spike at Your Service.txt	
sittin'	1	My Little Pony Equestria Girls: Summertime Shorts.txt	
nn	1	Castle Sweet Castle.txt	
no	1	My Little Pony Equestria Girls: Movie Magic.txt	
student	1	Student Counsel.txt	
dunno	2	Spike at Your Service.txt	Castle Sweet Castle.txt	
—riiiight	1	Student Counsel.txt	
kissed	1	Secret of My Excess.txt	
mixed	2	Made in Manehattan.txt	Student Counsel.txt	
kidding	4	Celestial Advice.txt	The Washouts.txt	Filli Vanilli.txt	My Little Pony Equestria Girls: Movie Magic.txt	
piggington	1	Spike at Your Service.txt	
of	1	Apple Family Reunion.txt	
oh	1	Apple Family Reunion.txt	
somehow	3	The Saddle Row Review.txt	Applejack's "Day" Off.txt	My Little Pony Equestria Girls: Movie Magic.txt	
dive	5	Friendship University.txt	Pinkie Pride.txt	Twilight's Kingdom - Part 1.txt	Molt Down.txt	The Hearth's Warming Club.txt	
mane-losing	1	It Isn't the Mane Thing About You.txt	
on	1	Apple Family Reunion.txt	
partying	1	Pinkie Pride.txt	
bricks	2	Do Princesses Dream of Magic Sheep?.txt	Uncommon Bond.txt	
op	1	The Lost Treasure of Griffonstone.txt	
gemsss	1	A Dog and Pony Show.txt	
or	1	Apple Family Reunion.txt	
sports	2	The End in Friend.txt	Applejack's "Day" Off.txt	
super-amazing	1	Marks for Effort.txt	
qveen	1	My Little Pony Equestria Girls: Summertime Shorts.txt	
ow	2	Castle Sweet Castle.txt	The Washouts.txt	
ringtone	1	My Little Pony Equestria Girls: Summertime Shorts.txt	
oy	1	The Break Up Break Down.txt	
schooled	1	Uprooted.txt	
buuuut	2	The Gift of the Maud Pie.txt	The Last Problem.txt	
pa	1	My Little Pony Equestria Girls: Movie Magic.txt	
twenty-five	1	Boast Busters.txt	
maneless	1	Amending Fences.txt	
kisses	2	The Perfect Pear.txt	A Friend in Deed.txt	
easier	11	Hearth's Warming Eve.txt	Pinkie Apple Pie.txt	The Cutie Map - Part 1.txt	Feeling Pinkie Keen.txt	Molt Down.txt	Three's A Crowd.txt	Once Upon a Zeppelin.txt	A Royal Problem.txt	Dragon Dropped.txt	To Where and Back Again - Part 1.txt	Applejack's "Day" Off.txt	
communicating	1	A Royal Problem.txt	
charm"	1	Dragonshy.txt	
munches&nbsp;ooo	1	Apple Family Reunion.txt	
sitting	1	The Washouts.txt	
"waxton"	1	The Saddle Row Review.txt	
po	1	A Dog and Pony Show.txt	
birdy-bird	1	Molt Down.txt	
increasingly	2	To Where and Back Again - Part 2.txt	To Where and Back Again - Part 1.txt	
do-nots	1	MMMystery on the Friendship Express.txt	
nation	1	Pinkie Apple Pie.txt	
trinkets	2	Princess Twilight Sparkle - Part 2.txt	A Dog and Pony Show.txt	
rocket	1	The Washouts.txt	
eeeeevil	1	My Little Pony Equestria Girls: Summertime Shorts.txt	
arch-nemesis	1	Power Ponies.txt	
freeze	1	Power Ponies.txt	
extremely	6	It's About Time.txt	Twilight's Kingdom - Part 1.txt	Princess Twilight Sparkle - Part 2.txt	Princess Twilight Sparkle - Part 1.txt	The Beginning of the End - Part 1.txt	The Mysterious Mare Do Well.txt	
peelin'	1	Maud Pie.txt	
varmint	1	Keep Calm and Flutter On.txt	
havoc"	1	Keep Calm and Flutter On.txt	
"roughing	1	Campfire Tales.txt	
bathed	1	A Dog and Pony Show.txt	
whoa-oa–	1	It's About Time.txt	
recent	3	Secrets and Pies.txt	Common Ground.txt	The Beginning of the End - Part 1.txt	
"to	2	To Where and Back Again - Part 2.txt	Amending Fences.txt	
earnin'	1	Crusaders of the Lost Mark.txt	
choke	1	Filli Vanilli.txt	
applewood	1	The Cart Before the Ponies.txt	
t-	1	Three's A Crowd.txt	
bridge	2	Stranger Than Fan Fiction.txt	Dragon Dropped.txt	
discovered	7	MMMystery on the Friendship Express.txt	Every Little Thing She Does.txt	Hearth's Warming Eve.txt	The Cutie Re-Mark - Part 1.txt	Surf and or Turf.txt	Maud Pie.txt	Simple Ways.txt	
belly	1	The One Where Pinkie Pie Knows.txt	
bells	2	Three's A Crowd.txt	The Beginning of the End - Part 1.txt	
geode	1	My Little Pony Equestria Girls: Movie Magic.txt	
davenport	1	It Isn't the Mane Thing About You.txt	
have—	1	Dragon Dropped.txt	
have–	1	Spike at Your Service.txt	
croquet	1	Sweet and Elite.txt	
se	1	It Isn't the Mane Thing About You.txt	
belle	2	To Where and Back Again - Part 1.txt	Apple Family Reunion.txt	
si	1	Pinkie Pride.txt	
adore	1	Castle Sweet Castle.txt	
lecture	1	Molt Down.txt	
so	1	Apple Family Reunion.txt	
levitation	1	The Crystal Empire - Part 1.txt	
whoo-hoo-hoo	1	The Beginning of the End - Part 1.txt	
ss	1	The End in Friend.txt	
calendar	1	My Little Pony Equestria Girls: Summertime Shorts.txt	
relatable	1	Simple Ways.txt	
decision	2	Celestial Advice.txt	Princess Spike.txt	
over-complicated	1	Stranger Than Fan Fiction.txt	
rectified	1	Filli Vanilli.txt	
heeere	1	Bloom & Gloom.txt	
chomp	3	The Saddle Row Review.txt	My Little Pony Equestria Girls: Movie Magic.txt	Apple Family Reunion.txt	
ideally	1	Dragon Dropped.txt	
monster	6	The Cutie Map - Part 1.txt	Power Ponies.txt	Molt Down.txt	Once Upon a Zeppelin.txt	Secret of My Excess.txt	The Beginning of the End - Part 2.txt	
"we	2	The Break Up Break Down.txt	To Where and Back Again - Part 2.txt	
congratu-pony-lations	1	Rarity Takes Manehattan.txt	
cement	1	It's About Time.txt	
teamwork	3	Every Little Thing She Does.txt	Winter Wrap Up.txt	Brotherhooves Social.txt	
caper"	1	The One Where Pinkie Pie Knows.txt	
to	1	Apple Family Reunion.txt	
ts	1	Made in Manehattan.txt	
tu	1	It Ain't Easy Being Breezies.txt	
moseying	1	Made in Manehattan.txt	
nature's	2	Brotherhooves Social.txt	The Perfect Pear.txt	
uf	1	It Ain't Easy Being Breezies.txt	
batendud	1	It Ain't Easy Being Breezies.txt	
"protectors	1	The Beginning of the End - Part 1.txt	
retreating	1	Boast Busters.txt	
uh	2	My Little Pony Equestria Girls: Movie Magic.txt	Apple Family Reunion.txt	
um	1	Student Counsel.txt	
other-side-of-a-rainbow	1	The Perfect Pear.txt	
anygriffon's	1	The Lost Treasure of Griffonstone.txt	
up	1	Apple Family Reunion.txt	
us	1	Apple Family Reunion.txt	
ut	1	It Ain't Easy Being Breezies.txt	
uu	1	It Ain't Easy Being Breezies.txt	
invading	1	Princess Twilight Sparkle - Part 1.txt	
spiders	2	The Last Problem.txt	Maud Pie.txt	
ve	1	Applejack's "Day" Off.txt	
with—	1	Molt Down.txt	
valiant	2	Princess Twilight Sparkle - Part 2.txt	The Beginning of the End - Part 1.txt	
protesting	1	The Hearth's Warming Club.txt	
silhouette	2	MMMystery on the Friendship Express.txt	Forever Filly.txt	
suggesting	4	Hearth's Warming Eve.txt	The End in Friend.txt	The Beginning of the End - Part 1.txt	Made in Manehattan.txt	
breakthrough	2	Common Ground.txt	My Little Pony Equestria Girls: Summertime Shorts.txt	
thwack	3	To Where and Back Again - Part 1.txt	Maud Pie.txt	Filli Vanilli.txt	
snack	5	Top Bolt.txt	It Ain't Easy Being Breezies.txt	Molt Down.txt	Surf and or Turf.txt	A Dog and Pony Show.txt	
gab	1	Party of One.txt	
"za	1	My Little Pony Equestria Girls: Summertime Shorts.txt	
little-wittle	1	Winter Wrap Up.txt	
gruff	5	The Lost Treasure of Griffonstone.txt	Gauntlet of Fire.txt	Uprooted.txt	The Hearth's Warming Club.txt	Dragon Dropped.txt	
gag	1	Party of One.txt	
approving	1	Sweet and Elite.txt	
we	1	Apple Family Reunion.txt	
gah	6	It Ain't Easy Being Breezies.txt	Feeling Pinkie Keen.txt	The Beginning of the End - Part 1.txt	The Times They Are A Changeling.txt	Spike at Your Service.txt	Applejack's "Day" Off.txt	
gal	2	The Break Up Break Down.txt	Griffon the Brush Off.txt	
summoned	2	Made in Manehattan.txt	Student Counsel.txt	
destitute	1	Friendship University.txt	
gas	2	Griffon the Brush Off.txt	Bloom & Gloom.txt	
shriek	5	A Rockhoof and a Hard Place.txt	Party of One.txt	Griffon the Brush Off.txt	It Isn't the Mane Thing About You.txt	The Saddle Row Review.txt	
calico's	1	The Break Up Break Down.txt	
previous	1	Keep Calm and Flutter On.txt	
teach	5	Marks for Effort.txt	Simple Ways.txt	Celestial Advice.txt	Amending Fences.txt	The Washouts.txt	
reading	1	Applejack's "Day" Off.txt	
squeaking	8	Dragon Dropped.txt	The Last Problem.txt	The Beginning of the End - Part 2.txt	The Mysterious Mare Do Well.txt	Princess Spike.txt	Applejack's "Day" Off.txt	Filli Vanilli.txt	Apple Family Reunion.txt	
choir	1	A Friend in Deed.txt	
suggestin'	1	Made in Manehattan.txt	
monster's	2	Dragon Dropped.txt	The Beginning of the End - Part 2.txt	
seminar	1	Once Upon a Zeppelin.txt	
ya	1	Apple Family Reunion.txt	
dragon	2	Celestial Advice.txt	Castle Sweet Castle.txt	
ye	2	The Crystal Empire - Part 1.txt	Boast Busters.txt	
type	2	Sweet and Elite.txt	Boast Busters.txt	
yo	1	Tanks for the Memories.txt	
teams	4	Winter Wrap Up.txt	My Little Pony Equestria Girls: Summertime Shorts.txt	Student Counsel.txt	Apple Family Reunion.txt	
za	1	My Little Pony Equestria Girls: Summertime Shorts.txt	
ze	1	My Little Pony Equestria Girls: Summertime Shorts.txt	
i-i-i-i	1	It Isn't the Mane Thing About You.txt	
sugarcube	1	The Perfect Pear.txt	
want—nay	1	Common Ground.txt	
chock	1	Tanks for the Memories.txt	
mistakenly	1	It Isn't the Mane Thing About You.txt	
a-twichin'	1	Feeling Pinkie Keen.txt	
force	11	The Cart Before the Ponies.txt	It Ain't Easy Being Breezies.txt	Secrets and Pies.txt	Campfire Tales.txt	The One Where Pinkie Pie Knows.txt	The Hooffields and McColts.txt	To Where and Back Again - Part 2.txt	The Cutie Map - Part 2.txt	The Cutie Re-Mark - Part 1.txt	The Beginning of the End - Part 1.txt	The Beginning of the End - Part 2.txt	
vacuuming	1	Bloom & Gloom.txt	
avala-	1	Dragonshy.txt	
surrounded	1	Student Counsel.txt	
"plainity"	1	Friendship University.txt	
gee	8	The Cutie Re-Mark - Part 1.txt	Once Upon a Zeppelin.txt	Boast Busters.txt	A Royal Problem.txt	Uncommon Bond.txt	Simple Ways.txt	Celestial Advice.txt	Princess Spike.txt	
i'd	2	My Little Pony Equestria Girls: Movie Magic.txt	Apple Family Reunion.txt	
sportiness	1	Common Ground.txt	
celestia's	3	A Royal Problem.txt	The Last Problem.txt	Celestial Advice.txt	
geh	1	A Dog and Pony Show.txt	
"houses"	1	Surf and or Turf.txt	
i'm	1	Apple Family Reunion.txt	
gem	2	Dragon Dropped.txt	Castle Sweet Castle.txt	
creamy	1	Princess Twilight Sparkle - Part 1.txt	
creams	1	Forever Filly.txt	
sabotage	2	Tanks for the Memories.txt	The Hearth's Warming Club.txt	
get	1	Apple Family Reunion.txt	
continues	3	The Saddle Row Review.txt	A Friend in Deed.txt	My Little Pony Equestria Girls: Movie Magic.txt	
sewing	1	Apple Family Reunion.txt	
power	3	The Beginning of the End - Part 2.txt	Simple Ways.txt	My Little Pony Equestria Girls: Movie Magic.txt	
"operation	1	Common Ground.txt	
nagging	1	It's About Time.txt	
snaps	1	My Little Pony Equestria Girls: Movie Magic.txt	
"whatever"	1	Twilight Time.txt	
industrious	1	Hearth's Warming Eve.txt	
bucking	2	Common Ground.txt	Apple Family Reunion.txt	
continued	6	The Cutie Re-Mark - Part 1.txt	The Crystal Empire - Part 1.txt	The Beginning of the End - Part 1.txt	A Royal Problem.txt	The Last Problem.txt	To Where and Back Again - Part 1.txt	
suspect	2	MMMystery on the Friendship Express.txt	Molt Down.txt	
jingle-bell	1	The Saddle Row Review.txt	
transformation	3	The Times They Are A Changeling.txt	Celestial Advice.txt	Student Counsel.txt	
rocketed	1	Spike at Your Service.txt	
massive	1	Do Princesses Dream of Magic Sheep?.txt	
whoo-whoo	1	Growing Up is Hard to Do.txt	
trickling	1	Princess Twilight Sparkle - Part 1.txt	
gasping	17	A Rockhoof and a Hard Place.txt	The Cart Before the Ponies.txt	Crusaders of the Lost Mark.txt	Twilight's Kingdom - Part 2.txt	Top Bolt.txt	The End in Friend.txt	Stranger Than Fan Fiction.txt	It's About Time.txt	Griffon the Brush Off.txt	The Cutie Map - Part 2.txt	The Crystal Empire - Part 1.txt	Once Upon a Zeppelin.txt	The Cutie Re-Mark - Part 2.txt	The Beginning of the End - Part 1.txt	A Royal Problem.txt	To Where and Back Again - Part 1.txt	Spike at Your Service.txt	
